ID,node1,node2,Sectag
1000,2,22,300
1001,22,36,301
1002,36,50,302
1003,50,64,303
1004,4,24,304
1005,24,38,305
1006,38,52,303
1007,52,66,306
1008,6,10,307
1009,26,40,307
1010,40,54,307
1011,54,68,308
1012,8,12,309
1013,14,28,310
1014,28,42,311
1015,42,56,312
1016,56,70,313
1017,16,30,314
1018,30,44,301
1019,44,58,303
1020,58,72,303
1021,18,32,306
1022,32,46,308
1023,46,60,311
1024,60,74,315
1025,20,34,301
1026,34,48,302
1027,48,62,303
1028,62,76,304
1029,2,4,305
1030,4,6,303
1031,6,8,306
1032,8,14,307
1033,14,16,307
1034,16,18,307
1035,18,20,308
1036,10,12,309
1037,22,24,310
1038,24,26,311
1039,26,28,312
1040,28,30,313
1041,30,32,314
1042,32,34,301
1043,36,38,303
1044,38,40,303
1045,40,42,306
1046,42,44,308
1047,44,46,311
1048,46,48,315
1049,50,52,315
1050,52,54,316
1051,54,56,317
1052,56,58,312
1053,58,60,313
1054,60,62,314
1055,64,66,301
1056,66,68,303
1057,68,70,303
1058,70,72,306
1059,72,74,308
1060,74,76,311
1061,77,87,300
1062,87,94,301
1063,94,101,302
1064,101,108,303
1065,78,88,304
1066,88,95,305
1067,95,102,303
1068,102,109,306
1069,79,81,307
1070,89,96,307
1071,96,103,307
1072,103,110,308
1073,80,82,309
1074,83,90,310
1075,90,97,311
1076,97,104,312
1077,104,111,313
1078,84,91,314
1079,91,98,301
1080,98,105,303
1081,105,112,303
1082,85,92,306
1083,92,99,308
1084,99,106,311
1085,106,113,315
1086,86,93,301
1087,93,100,302
1088,100,107,303
1089,107,114,304
1090,77,78,305
1091,78,79,303
1092,79,80,306
1093,80,83,307
1094,83,84,307
1095,84,85,307
1096,85,86,308
1097,81,82,309
1098,87,88,310
1099,88,89,311
1100,89,90,312
1101,90,91,313
1102,91,92,314
1103,92,93,301
1104,94,95,303
1105,95,96,303
1106,96,97,306
1107,97,98,308
1108,98,99,311
1109,99,100,315
1110,101,102,315
1111,102,103,316
1112,103,104,317
1113,104,105,312
1114,105,106,313
1115,106,107,314
1116,108,109,301
1117,109,110,303
1118,110,111,303
1119,111,112,306
1120,112,113,308
1121,113,114,311
1122,115,125,301
1123,125,132,302
1124,132,139,303
1125,139,146,306
1126,116,126,308
1127,126,133,311
1128,133,140,316
1129,140,147,317
1130,117,119,312
1131,127,134,318
1132,134,141,318
1133,141,148,319
1134,118,120,319
1135,121,128,320
1136,128,135,320
1137,135,142,321
1138,142,149,321
1139,122,129,322
1140,129,136,323
1141,136,143,324
1142,143,150,325
1143,123,130,326
1144,130,137,327
1145,137,144,328
1146,144,151,329
1147,124,131,329
1148,131,138,329
1149,138,145,330
1150,145,152,331
1151,115,116,331
1152,116,117,301
1153,117,118,303
1154,118,121,303
1155,121,122,306
1156,122,123,308
1157,123,124,311
1158,119,120,316
1159,125,126,317
1160,126,127,312
1161,127,128,318
1162,128,129,318
1163,129,130,319
1164,130,131,319
1165,132,133,320
1166,133,134,320
1167,134,135,321
1168,135,136,321
1169,136,137,322
1170,137,138,323
1171,139,140,323
1172,140,141,324
1173,141,142,325
1174,142,143,326
1175,143,144,327
1176,144,145,328
1177,146,147,329
1178,147,148,329
1179,148,149,329
1180,149,150,330
1181,150,151,331
1182,151,152,331
1183,153,163,332
1184,163,170,335
1185,170,177,336
1186,177,184,337
1187,154,164,338
1188,164,171,339
1189,171,178,340
1190,178,185,341
1191,155,157,342
1192,165,172,342
1193,172,179,343
1194,179,186,343
1195,156,158,343
1196,159,166,343
1197,166,173,344
1198,173,180,344
1199,180,187,345
1200,160,167,346
1201,167,174,347
1202,174,181,346
1203,181,188,348
1204,161,168,346
1205,168,175,349
1206,175,182,350
1207,182,189,350
1208,162,169,350
1209,169,176,350
1210,176,183,350
1211,183,190,332
1212,153,154,335
1213,154,155,336
1214,155,156,337
1215,156,159,338
1216,159,160,339
1217,160,161,340
1218,161,162,341
1219,157,158,342
1220,163,164,342
1221,164,165,343
1222,165,166,343
1223,166,167,343
1224,167,168,343
1225,168,169,344
1226,170,171,344
1227,171,172,345
1228,172,173,346
1229,173,174,347
1230,174,175,346
1231,175,176,348
1232,177,178,346
1233,178,179,349
1234,179,180,350
1235,180,181,350
1236,181,182,350
1237,182,183,350
1238,184,185,350
1239,185,186,350
1240,186,187,350
1241,187,188,350
1242,188,189,350
1243,189,190,350
