ID,node1,node2,Sectag
1,1,2,200
2,3,4,201
3,5,6,202
4,7,8,202
5,9,10,203
6,11,12,203
7,13,14,204
8,15,16,204
9,17,18,204
10,19,20,200
11,21,22,205
12,23,24,206
13,25,26,207
14,27,28,206
15,29,30,207
16,31,32,208
17,33,34,205
18,35,36,205
19,37,38,206
20,39,40,209
21,41,42,206
22,43,44,207
23,45,46,210
24,47,48,205
25,49,50,205
26,51,52,210
27,53,54,209
28,55,56,206
29,57,58,210
30,59,60,210
31,61,62,205
32,63,64,211
33,65,66,212
34,67,68,213
35,69,70,213
36,71,72,212
37,73,74,212
38,75,76,211
39,2,77,214
40,4,78,215
41,6,79,216
42,8,80,216
43,10,81,217
44,12,82,217
45,14,83,218
46,16,84,218
47,18,85,204
48,20,86,214
49,22,87,211
50,24,88,219
51,26,89,220
52,28,90,221
53,30,91,222
54,32,92,223
55,34,93,211
56,36,94,211
57,38,95,219
58,40,96,223
59,42,97,223
60,44,98,220
61,46,99,223
62,48,100,211
63,50,101,211
64,52,102,223
65,54,103,222
66,56,104,223
67,58,105,223
68,60,106,223
69,62,107,211
70,64,108,211
71,66,109,224
72,68,110,224
73,70,111,224
74,72,112,224
75,74,113,224
76,76,114,211
77,77,115,211
78,78,116,225
79,79,117,226
80,80,118,226
81,81,119,217
82,82,120,217
83,83,121,225
84,84,122,208
85,85,123,218
86,86,124,211
87,87,125,211
88,88,126,227
89,89,127,228
90,90,128,229
91,91,129,228
92,92,130,227
93,93,131,211
94,94,132,211
95,95,133,227
96,96,134,230
97,97,135,228
98,98,136,228
99,99,137,227
100,100,138,211
101,101,139,211
102,102,140,227
103,103,141,228
104,104,142,228
105,105,143,227
106,106,144,227
107,107,145,211
108,108,146,211
109,109,147,212
110,110,148,224
111,111,149,224
112,112,150,212
113,113,151,212
114,114,152,211
115,115,153,211
116,116,154,208
117,117,155,226
118,118,156,226
119,119,157,217
120,120,158,217
121,121,159,208
122,122,160,208
123,123,161,208
124,124,162,211
125,125,163,211
126,126,164,228
127,127,165,228
128,128,166,228
129,129,167,228
130,130,168,228
131,131,169,211
132,132,170,211
133,133,171,228
134,134,172,228
135,135,173,228
136,136,174,228
137,137,175,228
138,138,176,211
139,139,177,211
140,140,178,228
141,141,179,228
142,142,180,228
143,143,181,228
144,144,182,228
145,145,183,211
146,146,184,211
147,147,185,224
148,148,186,224
149,149,187,224
150,150,188,224
151,151,189,224
152,152,190,211
