 Sectag,name,b,d,cover,b,Ec,GJ,confined_mat,unconfined_mat,steel_mat,nfy,nfz,layer1_n,layer1_area,layer1_y,layer2_n,layer2_area,layer2_y,layer3_n,layer3_area,layer3_y,layer4_n,layer4_area,layer4_y
200,C1,15,6,2,0.249333333,3605,1797.837149,confined,unconfined,steel,10,10,3,1,top,3,1,bottom,,,,,,
201,C2,7.5,11.25,2,0.193333333,3605,2613.83409,confined,unconfined,steel,10,10,4,1.56,top,4,1.56,bottom,,,,,,
202,C3,6,11.25,2,0.221333333,3605,2992.389372,confined,unconfined,steel,10,10,2,1.27,top,2,1.27,bottom,,,,,,
203,C4,10,5,2,0.228333333,3605,1372.01253,confined,unconfined,steel,10,10,2,0.79,top,2,0.79,bottom,,,,,,
204,C5,7.5,12.5,2,0.207333333,3605,3114.56859,confined,unconfined,steel,10,10,4,1.56,top,4,1.56,bottom,,,,,,
205,C6,15,6,2,0.249333333,3605,1797.837149,confined,unconfined,steel,10,10,3,0.79,top,3,0.79,bottom,,,,,,
206,C7,10,10,2,0.123333333,3605,1482.17412,confined,unconfined,steel,10,10,4,1.56,top,4,1.56,bottom,,,,,,
207,C8,10,10,2,0.123333333,3605,1482.17412,confined,unconfined,steel,10,10,4,1,top,4,1,bottom,,,,,,
208,C9,7.5,11.25,2,0.193333333,3605,2613.83409,confined,unconfined,steel,10,10,3,0.44,top,3,0.44,bottom,,,,,,
209,C10,22.5,10,2,0.24,3605,2884.23072,confined,unconfined,steel,10,10,4,1.27,top,4,1.27,bottom,,,,,,
210,C11,10,10,2,0.123333333,3605,1482.17412,confined,unconfined,steel,10,10,4,1.27,top,4,1.27,bottom,,,,,,
211,C12,15,6,2,0.249333333,3605,1797.837149,confined,unconfined,steel,10,10,3,0.44,top,3,0.44,bottom,,,,,,
212,C13,6,15,2,0.249333333,3605,4494.592872,confined,unconfined,steel,10,10,3,0.79,top,3,0.79,bottom,,,,,,
213,C14,6,15,2,0.249333333,3605,4494.592872,confined,unconfined,steel,10,10,3,1,top,3,1,bottom,,,,,,
214,C15,15,6,2,0.249333333,3605,1797.837149,confined,unconfined,steel,10,10,3,0.6,top,3,0.6,bottom,,,,,,
215,C16,7.5,11.25,2,0.193333333,3605,2613.83409,confined,unconfined,steel,10,10,3,0.79,top,3,0.79,bottom,,,,,,
216,C17,6,11.25,2,0.221333333,3605,2992.389372,confined,unconfined,steel,10,10,2,0.6,top,2,0.6,bottom,,,,,,
217,C18,10,5,2,0.228333333,3605,1372.01253,confined,unconfined,steel,10,10,2,1,top,2,1,bottom,,,,,,
218,C19,7.5,11.25,2,0.193333333,3605,2613.83409,confined,unconfined,steel,10,10,3,1.56,top,3,1.56,bottom,,,,,,
219,C20,10,10,2,0.123333333,3605,1482.17412,confined,unconfined,steel,10,10,2,1.56,top,2,1.56,bottom,,,,,,
