roof_disp_node190_dof1_in,base_shear_kips
0.0,0.0
3.855962,313.1208
3.905962,315.6659
3.955962,318.1861
4.005962,320.684
4.055962,323.162
4.105962,325.62
4.155962,328.0582
4.205962,330.4767
4.255962,332.8754
4.305962,335.2547
4.355962,337.6149
4.405962,339.9555
4.455962,342.2765
4.505962,344.578
4.555962,346.8597
4.605962,349.1248
4.655962,351.3735
4.705962,353.606
4.755962,355.8208
4.805962,358.0167
4.855962,360.1928
4.905962,362.3487
4.955962,364.4889
5.005962,366.6124
5.055962,368.7196
5.105962,370.8109
5.155962,372.8861
5.205962,374.9448
5.255962,376.9868
5.305962,379.0113
5.355962,381.0182
5.405962,383.008
5.455962,384.9818
5.505962,386.9386
5.555962,388.8788
5.605962,390.8014
5.655962,392.7073
5.705962,394.5964
5.755962,396.4684
5.805962,398.3226
5.855962,400.1599
5.905962,401.9793
5.955962,403.7813
6.005962,405.5646
6.055962,407.3291
6.105962,409.072
6.155962,410.7929
6.205962,412.4918
6.255962,414.1666
6.305962,415.8177
6.355962,417.4431
6.405962,419.0429
6.455962,420.6187
6.505962,422.1702
6.555962,423.6972
6.605962,425.1992
6.655962,426.6815
6.705962,428.1439
6.755962,429.5921
6.805962,431.0313
6.855962,432.4616
6.905962,433.881
6.955962,435.2892
7.005962,436.6849
7.055962,438.0695
7.105962,439.4415
7.155962,440.8005
7.205962,442.1472
7.255962,443.4811
7.305962,444.7999
7.355962,446.1009
7.405962,447.3911
7.455962,448.6676
7.505962,449.9283
7.555962,451.1731
7.605962,452.4032
7.655962,453.6175
7.705962,454.817
7.755962,456.0054
7.805962,457.1828
7.855962,458.3433
7.905962,459.483
7.955962,460.6093
8.005962,461.7237
8.055962,462.8249
8.105962,463.9214
8.155962,465.0075
8.205962,466.0785
8.255962,467.1337
8.305962,468.1777
8.355962,469.2162
8.405962,470.2451
8.455962,471.2645
8.505962,472.2852
8.555962,473.2966
8.605962,474.295
8.655962,475.2836
8.705962,476.2637
8.755962,477.2335
8.805962,478.1968
8.855962,479.1609
8.905962,480.1162
8.955962,481.064
9.005962,482.0061
9.055962,482.94
9.105962,483.8664
9.155962,484.7869
9.205962,485.6983
9.255962,486.5979
9.305962,487.4842
9.355962,488.361
9.405962,489.2377
9.455962,490.1051
9.505962,490.9678
9.555962,491.8261
9.605962,492.6794
9.655962,493.5252
9.705962,494.3569
9.755962,495.174
9.805962,495.9835
9.855962,496.7922
9.905962,497.6032
9.955962,498.4081
10.005962,499.2045
